,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
449,450,6trIghKwHRUyxwvm66HLHH,"""FousheÃ©""",,,,,,,,-1,
587,588,5TbLOwv8BNnik3f03NZJlt,"""TOKYOâ€™S REVENGE""",,,,,,,,-1,
603,604,1IxP1g9VrPzJqXFCsuyHKe,"""MÃ¥ns ZelmerlÃ¶w""",124839,,,,,,,-1,
616,617,6lBN3Tzt61u8i9AJoAhKzF,"""Mykola Dmytrovych Leontovych""",,,,,,,,-1,
623,624,48HORs6F9P7IgdyKrk4MZC,"""TarcÃ­sio do Acordeon""",,,,,,,,-1,
717,718,4PzYKhC14sTJNEr0dzoo0d,"""LuÃ­sa Sonza""",4703102,,,,,,,-1,
780,781,0vbEs3DgphJ2RGZqh4qFLT,"""Anita Kerr Singers""",4478615,,,,,,,-1,
867,868,19u3RGWKsjmbg9eI6zAiNp,"""13 OrganisÃ©""",,,,,,,,-1,
902,903,5TphiK6LsT4X5NOZxq3NJB,"""Trio VegabajeÃ±o""",,,,,,,,-1,
921,922,4ytkhMSAnrDP8XzRNlw9FS,"""Vince Guaraldi Trio""",109680,,,,,,,-1,
954,955,7sfgqEdoeBTjd8lQsPT3Cy,"""Emeli SandÃ©""",137837,,,,,,,-1,
965,966,5tVyieWwN9j09jXUovK2zN,"""Danny Saucedo""",,,,,,,,-1,
999,1000,67mFhErdTWmJ9slGMC6vOf,"""TrÃ­o Los Josefinos""",,,,,,,,-1,
1005,1006,5nAiCPenjjdpUJAmElxmuu,"""LoÃ¯c Nottet""",,,,,,,,-1,
1018,1019,2T5vGJaxQIczaOZSUrvM1A,"""Jason French""",4564160,,,,,,,-1,
1029,1030,1O5L4lbEpxlI7udBqsSQJa,"""Blue Suede Daddys""",127616,,,,,,,-1,
1068,1069,3q6vAnrFIwWtAERGIXCwmV,"""Jaymes Reunion""",,,,,,,,-1,
1072,1073,7w29MU70EVgvR0c5f4wIxf,"""Winterland Big Band""",,,,,,,,-1,
1077,1078,397jYgLYL4N6XsutEYQlP5,"""The Starlite Singers""",,,,,,,,-1,
1094,1095,7KAGJwWQQui8b0uqwXRkSr,"""GestÃ¶rt aber GeiL""",4567843,,,,,,,-1,
1106,1107,08uWJ3O13e3RJCxaiZh8qm,"""Elina Born & Stig RÃ¤sta""",4527377,,,,,,,-1,
520,1026,08JjzDgK2ltxMBWlez1YyH,"""Hasse Andersson""",135689,https://www.instagram.com/hasse._.andersson,hasse._.andersson,,,,,1,"{'pk': '2003792009', 'username': 'hasse._.andersson', 'full_name': '♥️', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/11371961_945740388779617_1552907689_a.jpg?_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=tuwRoximc4UAX9s99Oz&edm=AHG7ALcBAAAA&ccb=7-4&oh=d5ee0ad7867dc22ec5243ee9a2cecf17&oe=60B0013B&_nc_sid=5cbaad', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '2003792009'}"
