Pos;Artist and Title;SONG NAME;ARTIST NAME;Wks;T10;Pk;(x?);PkStreams;Total;ARTIST URL;TRACK
1;Ed Sheeran†-†Shape of You;Shape of You;Ed Sheeran;218;34;1;(x14);64,217,796;2,726,385,847;6eUKZXaKkcviH0Ku9w2n3V;7qiZfU4dY1lWllzX7mPBI3
2;Tones and I†-†Dance Monkey;Dance Monkey;Tones and I;89;41;1;(x17);52,055,226;2,117,315,285;2NjfBq1NflQcKSeiDooVjY;1rgnBhdG2JDFTbYkYRZAku
3;Post Malone†-†rockstar;rockstar;Post Malone;172;27;1;(x17);46,995,997;2,072,812,831;246dkjvS1zLTtiykXe5h60;0e7ipj03S05BNilyu5bRzt
4;The Weeknd†-†Blinding Lights;Blinding Lights;The Weeknd;70;64;1;(x13);52,375,259;2,072,001,165;1Xyo4u8uXC1ZmMpatF05PJ;0VjIjW4GlUZAMYd2vXMi3b
5;Post Malone†-†Sunflower - Spider-Man: Into the Spider-Verse;Sunflower - Spider-Man: Into the Spider-Verse;Post Malone;128;31;1;(x2);34,579,416;1,829,554,088;246dkjvS1zLTtiykXe5h60;3KkXRkHbMCARz0aVfEt68P
6;Lewis Capaldi†-†Someone You Loved;Someone You Loved;Lewis Capaldi;117;15;4;;24,962,682;1,793,994,813;4GNC7GD6oZMSxPGyXy4MNB;7qEHsqek33rTcFNT9PFqLf
7;Shawn Mendes†-†SeÒorita;Se√±orita;Shawn Mendes;93;23;1;(x14);67,237,638;1,759,436,341;7n2wHs1TKAczGzO7Dd2rGr;6v3KW9xbzN5yKLt9YKDYA2
8;Billie Eilish†-†bad guy;bad guy;Billie Eilish;105;24;1;(x6);50,342,324;1,717,931,688;6qqNVTkY8uBg9cP3Jd7DAH;2Fxmhks0bxGSBdJ92vM42m
9;The Chainsmokers†-†Closer;Closer;The Chainsmokers;183;28;1;(x11);46,300,740;1,699,978,914;69GGBxA162lTqCwzJG5jLp;7BKLCZ1jbUBVqRi2FVlTVw
10;James Arthur†-†Say You Won't Let Go;Say You Won't Let Go;James Arthur;234;15;7;;19,297,939;1,648,127,324;4IWBUUAFIplrNtaOHcJPRM;5uCax9HTNlzGybIStD3vDh
11;Imagine Dragons†-†Believer;Believer;Imagine Dragons;217;;16;;16,864,827;1,645,797,481;53XhwfbYqKCa1cC15pYq2q;0pqnGHJpmpxLKifKRmU6WP
12;Ed Sheeran†-†Perfect;Perfect;Ed Sheeran;211;15;4;;24,763,619;1,644,941,052;6eUKZXaKkcviH0Ku9w2n3V;0tgVpDi06FyKpA1z0VMD4v
13;Juice WRLD†-†Lucid Dreams;Lucid Dreams;Juice WRLD;151;15;3;(x1);27,389,019;1,568,675,554;4MCBfE4596Uoi2O4DtmEMz;285pBltuF7vW8TeWk8hdRR
14;Drake†-†One Dance;One Dance;Drake;129;26;1;(x14);47,782,311;1,555,622,901;3TVXtAsR1Inumwj472S9r4;1xznGGDReH1oQq0xzbwXa3
15;XXXTENTACION†-†SAD!;SAD!;XXXTENTACION;159;12;1;(x2);38,010,231;1,510,602,878;15UsOTVnJzReFVN1VCnxy4;3ee8Jmje8o58CHK66QrVC2
16;Drake†-†God's Plan;God's Plan;Drake;104;21;1;(x11);54,891,573;1,446,481,457;3TVXtAsR1Inumwj472S9r4;2XW4DbS6NddZxRPm5rMCeY
17;Lady Gaga†-†Shallow;Shallow;Lady Gaga;131;12;3;(x2);31,597,226;1,431,254,727;1HY2Jd0NmPuamShAr6KMms;2VxeLyX666F8uXCJ0dZF8B
