,index,spotify_artist_id,list_original_name,music_story_id,instagram_url,instagram_username,facebook_url,facebook_username,twitter_url,twitter_username,instagram_followers,instagram_data
632,633,00FQb4jTyendYWaN8pK0wa,"""Lana Del Rey""",165981,http://www.instagram.com/lanadelrey,lanadelrey,,,,,18954506,
130,341,00me4Ke1LsvMxt5kydlMyU,"""Cosculluela""",4486402,https://www.instagram.com/cosculluela,cosculluela,,,,,8384584,"{'pk': '39901137', 'username': 'cosculluela', 'full_name': 'Jose Cosculluela', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/79378206_815177275560894_6358138008675287040_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=RwfkPsgnvu0AX-WO5x0&edm=AHG7ALcBAAAA&ccb=7-4&oh=bce1195d5b3be2c929b0b39957617f32&oe=60B131FD&_nc_sid=5cbaad', 'profile_pic_id': '2210898507827842926_39901137', 'is_verified': True, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 1619742495, 'live_broadcast_id': None, 'id': '39901137'}"
397,398,00XhexlJEXQstHimpZN910,"""Brytiago""",4695497,http://www.instagram.com/brytiago,brytiago,,,,,5325368,
502,1002,01pKrlgPJhm5dB4lneYAqS,"""Sigma""",123497,https://www.instagram.com/sigma,sigma,,,,,58801,"{'pk': '23646279', 'username': 'sigma', 'full_name': 'SIGMA', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/68984202_2415410668572841_7152325372065873920_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=wJw-Y-r5uGUAX9S3DYE&edm=AHG7ALcBAAAA&ccb=7-4&oh=aa9f064a9afb0605be48723a93174e34&oe=60B202F5&_nc_sid=5cbaad', 'profile_pic_id': '2135070913468456082_23646279', 'is_verified': True, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 0, 'live_broadcast_id': None, 'id': '23646279'}"
139,140,02A3cEvlLLCbIMVDrK2GHV,"""Starley""",4683747,http://www.instagram.com/starley,starley,,,,,37575,
99,100,02kJSzxNuaWGqwubyUba0Z,"""G-Eazy""",4558361,http://www.instagram.com/g_eazy,g_eazy,,,,,8721791,
451,926,03d2mJXSMtuPI0nIvLnhoS,"""Zoe Wees""",,https://www.instagram.com/zoe.wees,zoe.wees,,,,,288992,"{'pk': '1134981219', 'username': 'zoe.wees', 'full_name': 'ZOE WEES', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/135757446_321414489108172_4402695460293816557_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=JpCQhT9vg4QAX-OYNqV&edm=AHG7ALcBAAAA&ccb=7-4&oh=0095fdc84a3d0422a3398a576f65db7e&oe=60AF677F&_nc_sid=5cbaad', 'profile_pic_id': '2482292648487393217_1134981219', 'is_verified': True, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 1619728643, 'live_broadcast_id': None, 'id': '1134981219'}"
23,24,04gDigrS5kc9YWfZHwBETP,"""Maroon 5""",101920,http://www.instagram.com/maroon5,maroon5,,,,,7860160,
938,939,05fG473iIaoy82BF1aGhL8,"""Slipknot""",100286,http://www.instagram.com/slipknot,slipknot,,,,,4914608,
168,635,05o1zW8b6PV6rEquXr74sB,"""State of Sound""",,https://www.instagram.com/soundoftristate,soundoftristate,,,,,2063,"{'pk': '1275926286', 'username': 'soundoftristate', 'full_name': 'Sound of Tri-State', 'is_private': False, 'profile_pic_url': 'https://scontent-mad1-1.cdninstagram.com/v/t51.2885-19/s150x150/22427153_121427381867831_8320545515821334528_n.jpg?tp=1&_nc_ht=scontent-mad1-1.cdninstagram.com&_nc_ohc=_I56S7Owk8EAX9A0bs2&edm=AHG7ALcBAAAA&ccb=7-4&oh=9ec614bc6ed82590bdefbeaa836c23ca&oe=60B12558&_nc_sid=5cbaad', 'profile_pic_id': '1623247864366990720_1275926286', 'is_verified': False, 'has_anonymous_profile_picture': False, 'account_badges': [], 'friendship_status': {'following': False, 'is_private': False, 'incoming_request': False, 'outgoing_request': False, 'is_bestie': False, 'is_restricted': False}, 'latest_reel_media': 1619736132, 'live_broadcast_id': None, 'id': '1275926286'}"
