;name;album;artist;release_date;length;popularity;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;mode;valence;key
0;Shape of You;÷ (Deluxe);Ed Sheeran;2017-03-03;233712;85;0.825;0.581;0.825;0.652;0.0;0.0931;-3.183;0.0802;95.977;4;0;0.931;1
1;Dance Monkey;Dance Monkey;Tones And I;2019-05-10;209754;67;0.825;0.688;0.825;0.593;0.000161;0.17;-6.401;0.0988;98.078;4;0;0.54;6
2;rockstar (feat. 21 Savage);beerbongs & bentleys;Post Malone;2018-04-27;218146;84;0.585;0.124;0.585;0.52;7.01e-05;0.131;-6.136;0.0712;159.801;4;0;0.129;5
3;Blinding Lights;After Hours;The Weeknd;2020-03-20;200040;94;0.514;0.00146;0.514;0.73;9.54e-05;0.0897;-5.934;0.0598;171.005;4;1;0.334;1
4;Sunflower - Spider-Man: Into the Spider-Verse;Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture);Various Artists;2018-12-14;158040;83;0.76;0.556;0.76;0.479;0.0;0.0703;-5.574;0.0466;89.911;4;1;0.913;2
5;Someone You Loved;Divinely Uninspired To A Hellish Extent;Lewis Capaldi;2019-05-17;182160;89;0.501;0.751;0.501;0.405;0.0;0.105;-5.679;0.0319;109.891;4;1;0.446;1
6;Señorita;Shawn Mendes (Deluxe);Shawn Mendes;2019-06-19;190799;80;0.759;0.0392;0.759;0.548;0.0;0.0828;-6.049;0.029;116.967;4;0;0.749;9
7;bad guy;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;Billie Eilish;2019-03-29;194087;87;0.701;0.328;0.701;0.425;0.13;0.1;-10.965;0.375;135.128;4;1;0.562;7
8;Closer;Closer;The Chainsmokers;2016-07-29;244960;85;0.748;0.414;0.748;0.524;0.0;0.111;-5.599;0.0338;95.01;4;1;0.661;8
9;Say You Won't Let Go;Back from the Edge;James Arthur;2016-10-28;211466;85;0.358;0.695;0.358;0.557;0.0;0.0902;-7.398;0.059;85.043;4;1;0.494;10
10;Believer;Evolve;Imagine Dragons;2017-06-23;204346;87;0.776;0.0622;0.776;0.78;0.0;0.081;-4.374;0.128;124.949;4;0;0.666;10
11;Perfect;÷ (Deluxe);Ed Sheeran;2017-03-03;263400;86;0.599;0.163;0.599;0.448;0.0;0.106;-6.312;0.0232;95.05;3;1;0.168;8
12;Lucid Dreams;Goodbye & Good Riddance;Juice WRLD;2018-12-10;239835;86;0.511;0.349;0.511;0.566;0.0;0.34;-7.23;0.2;83.903;4;0;0.218;6
13;One Dance;Views;Drake;2016-05-06;173986;2;0.791;0.00784;0.791;0.619;0.00423;0.351;-5.886;0.0532;103.989;4;1;0.371;1
14;SAD!;?;XXXTENTACION;2018-03-16;166605;85;0.74;0.258;0.74;0.613;0.00372;0.123;-4.88;0.145;75.023;4;1;0.473;8
15;God's Plan;Scary Hours;Drake;2018-01-20;198960;1;0.758;0.0309;0.758;0.448;8.67e-05;0.558;-9.441;0.103;77.176;4;1;0.373;7
16;Shallow;A Star Is Born Soundtrack;Lady Gaga;2018-10-05;215733;84;0.572;0.371;0.572;0.385;0.0;0.231;-6.362;0.0308;95.799;4;1;0.323;7
17;7 rings;thank u, next;Ariana Grande;2019-02-08;178626;85;0.778;0.592;0.778;0.317;0.0;0.0881;-10.732;0.334;140.048;4;0;0.327;1
18;Don't Start Now;Future Nostalgia;Dua Lipa;2020-03-27;183290;84;0.793;0.0123;0.793;0.793;0.0;0.0951;-4.521;0.083;123.95;4;0;0.679;11
19;SICKO MODE;ASTROWORLD;Travis Scott;2018-08-03;312820;85;0.834;0.00513;0.834;0.73;0.0;0.124;-3.714;0.222;155.008;4;1;0.446;8
20;Jocelyn Flores;17;XXXTENTACION;2017-08-25;119133;86;0.872;0.469;0.872;0.391;4.13e-06;0.297;-9.144;0.242;134.021;4;0;0.437;0
21;Circles;Hollywood's Bleeding;Post Malone;2019-09-06;215280;88;0.695;0.192;0.695;0.762;0.00244;0.0863;-3.497;0.0395;120.042;4;1;0.553;0
22;lovely (with Khalid);lovely (with Khalid);Billie Eilish;2018-04-19;200185;88;0.351;0.934;0.351;0.296;0.0;0.095;-10.109;0.0333;115.284;4;0;0.12;4
23;Happier;Happier;Marshmello;2018-08-17;214289;84;0.687;0.191;0.687;0.792;0.0;0.167;-2.749;0.0452;100.015;4;1;0.671;5
24;Havana (feat. Young Thug);Camila;Camila Cabello;2018-01-12;217306;81;0.765;0.184;0.765;0.523;3.56e-05;0.132;-4.333;0.03;104.988;4;1;0.394;2
25;Something Just Like This;Memories...Do Not Open;The Chainsmokers;2017-04-07;247160;83;0.617;0.0498;0.617;0.635;1.44e-05;0.164;-6.769;0.0317;103.019;4;0;0.446;11
26;Thinking out Loud;x (Deluxe Edition);Ed Sheeran;2014-06-21;281560;83;0.781;0.474;0.781;0.445;0.0;0.184;-6.061;0.0295;78.998;4;1;0.591;2
27;I Don't Care (with Justin Bieber);No.6 Collaborations Project;Ed Sheeran;2019-07-12;219946;75;0.798;0.0902;0.798;0.676;0.0;0.0894;-5.041;0.0442;101.956;4;1;0.843;6
28;Better Now;beerbongs & bentleys;Post Malone;2018-04-27;231266;82;0.68;0.331;0.68;0.578;0.0;0.135;-5.804;0.04;145.038;4;1;0.341;10
29;goosebumps;Birds In The Trap Sing McKnight;Travis Scott;2016-09-16;243836;87;0.841;0.0847;0.841;0.728;0.0;0.149;-3.37;0.0484;130.049;4;1;0.43;7
30;Thunder;Evolve;Imagine Dragons;2017-06-23;187146;1;0.6;0.00683;0.6;0.81;0.21;0.155;-4.749;0.0479;167.88;4;1;0.298;0
31;Photograph;x (Wembley Edition);Ed Sheeran;2013;258986;66;0.614;0.607;0.614;0.379;0.000464;0.0986;-10.48;0.0476;107.989;4;1;0.201;4
32;Roses - Imanbek Remix;Roses (Imanbek Remix);SAINt JHN;2019-10-09;176840;86;0.77;0.0167;0.77;0.724;0.0107;0.353;-5.484;0.0495;121.975;4;1;0.898;8
33;Without Me;Without Me;Halsey;2018-10-04;201660;81;0.752;0.297;0.752;0.488;9.11e-06;0.0936;-7.05;0.0705;136.041;4;1;0.533;6
34;The Box;Please Excuse Me For Being Antisocial;Roddy Ricch;2019-12-06;196652;86;0.896;0.104;0.896;0.586;0.0;0.79;-6.687;0.0559;116.971;4;0;0.642;10
35;New Rules;Dua Lipa (Deluxe);Dua Lipa;2017-06-02;209320;80;0.762;0.00261;0.762;0.7;1.56e-05;0.153;-6.021;0.0694;116.073;4;0;0.608;9
36;thank u, next;thank u, next;Ariana Grande;2019-02-08;207320;83;0.717;0.229;0.717;0.653;0.0;0.101;-5.634;0.0658;106.966;4;1;0.412;1
37;Watermelon Sugar;Fine Line;Harry Styles;2019-12-13;174000;90;0.548;0.122;0.548;0.816;0.0;0.335;-4.209;0.0465;95.39;4;1;0.557;0
38;Memories;Memories;Maroon 5;2019-09-20;189486;87;0.764;0.837;0.764;0.32;0.0;0.0822;-7.209;0.0546;91.019;4;1;0.575;11
39;Despacito - Remix;Despacito Feat. Justin Bieber (Remix);Luis Fonsi;2017-04-17;228826;4;0.694;0.229;0.694;0.815;0.0;0.0924;-4.328;0.12;88.931;4;1;0.813;2
40;Girls Like You (feat. Cardi B);Red Pill Blues (Deluxe);Maroon 5;2018-06-15;235545;75;0.851;0.568;0.851;0.541;0.0;0.13;-6.825;0.0505;124.959;4;1;0.448;0
41;XO Tour Llif3;Luv Is Rage 2;Lil Uzi Vert;2017-08-25;182706;83;0.732;0.00264;0.732;0.75;0.0;0.109;-6.366;0.231;155.096;4;0;0.401;11
42;when the party's over;WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?;Billie Eilish;2019-03-29;196077;85;0.367;0.978;0.367;0.111;3.97e-05;0.0897;-14.084;0.0972;82.642;4;1;0.198;4
43;Moonlight;?;XXXTENTACION;2018-03-16;135090;84;0.921;0.556;0.921;0.537;0.00404;0.102;-5.723;0.0804;128.009;4;0;0.711;9
44;ROCKSTAR (feat. Roddy Ricch);BLAME IT ON BABY;DaBaby;2020-04-17;181733;89;0.746;0.247;0.746;0.69;0.0;0.101;-7.956;0.164;89.977;4;1;0.497;11
45;Starboy;Starboy;The Weeknd;2016-11-25;230453;1;0.681;0.165;0.681;0.594;3.49e-06;0.134;-7.028;0.282;186.054;4;1;0.535;7
46;Old Town Road (feat. Billy Ray Cyrus) - Remix;Old Town Road;Lil Nas X;2019-04-05;157066;6;0.878;0.0533;0.878;0.619;0.0;0.113;-5.56;0.102;136.041;4;1;0.639;6
47;ROXANNE;ROXANNE;Arizona Zervas;2019-10-10;163636;84;0.621;0.0522;0.621;0.601;0.0;0.46;-5.616;0.148;116.735;5;0;0.457;6
48;Bohemian Rhapsody - Remastered 2011;A Night At The Opera (2011 Remaster);Queen;1975-11-21;354320;82;0.414;0.271;0.414;0.404;0.0;0.3;-9.928;0.0499;71.105;4;0;0.224;0
49;Tusa;Tusa;KAROL G;2019-11-07;200960;83;0.803;0.295;0.803;0.715;0.000134;0.0574;-3.28;0.298;101.085;4;1;0.574;2
50;All of Me;Love In The Future (Expanded Edition);John Legend;2013-08-30;269560;86;0.422;0.922;0.422;0.264;0.0;0.132;-7.064;0.0322;119.93;4;1;0.331;8
51;Congratulations;Stoney (Deluxe);Post Malone;2016-12-09;220293;81;0.63;0.215;0.63;0.804;0.0;0.253;-4.183;0.0363;123.146;4;1;0.492;6
